Film,Year,Winner,OriginalBudget,USDBudget
Wings,1927,True,2000000,2000000
The Broadway Melody,1928,True,0,0
All Quiet on the Western Front,1929,True,1200000,1200000
Cimarron,1930,True,1433000,1433000
Grand Hotel,1931,True,750000,750000
Cavalcade  [H],1932,True,1180280,1180280
It Happened One Night  [I],1934,True,325000,325000
Mutiny on the Bounty  [J],1935,True,1950000,1950000
The Great Ziegfeld,1936,True,2183000,2183000
The Life of Emile Zola,1937,True,0,0
You Can't Take It With You,1938,True,1644736,1644736
Gone with the Wind,1939,True,3850000,3850000
Rebecca,1940,True,1288000,1288000
How Green Was My Valley,1941,True,800000,800000
Mrs. Miniver,1942,True,1340000,1340000
Casablanca,1943,True,878000,878000
Going My Way,1944,True,0,0
The Lost Weekend,1945,True,1250000,1250000
The Best Years of Our Lives,1946,True,2100000,2100000
Gentleman's Agreement,1947,True,1985000,1985000
Hamlet,1948,True,527530,684989
All the King's Men,1949,True,0,0
All About Eve,1950,True,1400000,1400000
An American in Paris,1951,True,2724000,2724000
The Greatest Show on Earth,1952,True,0,0
From Here to Eternity,1953,True,1650000,1650000
On the Waterfront,1954,True,910000,910000
Marty,1955,True,350000,350000
Around the World in 80 Days,1956,True,6000000,6000000
The Bridge on the River Kwai,1957,True,2800000,2800000
Gigi,1958,True,3319355,3319355
Ben-Hur,1959,True,15200000,15200000
The Apartment,1960,True,3000000,3000000
West Side Story,1961,True,6000000,6000000
Lawrence of Arabia,1962,True,15000000,15000000
Tom Jones,1963,True,1000000,1000000
My Fair Lady,1964,True,17000000,17000000
The Sound of Music,1965,True,8199999,8199999
A Man for All Seasons,1966,True,2000000,2000000
In the Heat of the Night,1967,True,2000000,2000000
Oliver!,1968,True,10000000,10000000
Midnight Cowboy,1969,True,3200000,3200000
Patton,1970,True,12600000,12600000
The French Connection,1971,True,1800000,1800000
The Godfather,1972,True,0,0
The Sting,1973,True,5500000,5500000
The Godfather Part II  [O],1974,True,13000000,13000000
One Flew Over the Cuckoo's Nest,1975,True,3000000,3000000
Rocky,1976,True,1100000,1100000
Annie Hall,1977,True,4000000,4000000
The Deer Hunter,1978,True,15000000,15000000
Kramer vs. Kramer,1979,True,8000000,8000000
Ordinary People,1980,True,6000000,6000000
Chariots of Fire,1981,True,3000000,3895455
Gandhi,1982,True,22000000,22000000
Terms of Endearment,1983,True,8000000,8000000
Amadeus,1984,True,18000000,18000000
Out of Africa,1985,True,28000000,28000000
Platoon,1986,True,6000000,6000000
The Last Emperor [O],1987,True,23800000,23800000
Rain Man,1988,True,25000000,25000000
Driving Miss Daisy,1989,True,7500000,7500000
Dances with Wolves,1990,True,22000000,22000000
The Silence of the Lambs,1991,True,19000000,19000000
Unforgiven,1992,True,14400000,14400000
Schindler's List,1993,True,22000000,22000000
Forrest Gump,1994,True,55000000,55000000
Braveheart,1995,True,72000000,72000000
The English Patient,1996,True,27000000,27000000
Titanic,1997,True,200000000,200000000
Shakespeare in Love,1998,True,25000000,25000000
American Beauty,1999,True,15000000,15000000
Gladiator,2000,True,103000000,103000000
A Beautiful Mind,2001,True,58000000,58000000
Chicago,2002,True,45000000,45000000
The Lord of the Rings: The Return of the King,2003,True,94000000,94000000
Million Dollar Baby,2004,True,30000000,30000000
Crash,2005,True,6500000,6500000
The Departed,2006,True,90000000,90000000
No Country for Old Men,2007,True,25000000,25000000
Slumdog Millionaire [O],2008,True,15000000,15000000
The Hurt Locker,2009,True,15000000,15000000
The King's Speech,2010,True,15000000,15000000
The Artist,2011,True,15000000,15000000
Argo,2012,True,44500000,44500000
12 Years a Slave,2013,True,22000000,22000000
Birdman or (The Unexpected Virtue of Ignorance),2014,True,0,0
